headword,CEFR,definition
a,A1,에이
a.m./A.M./am/AM,A1,오전/오전/오전/오전
abandon,B1,버리다
abandoned,B2,버려진
ability,A2,능력
able,B1,할 수 있는
abnormal,B1,이상
abnormally,B2,비정상적으로
aboard,B1,배로
abolish,B2,폐하다
aboriginal,B2,원주민
aborigine,B1,원주민
about,A1,~에 대한
about,A1,~에 대한
above,B1,~ 위에
above,A1,~ 위에
above,A1,~ 위에
abroad,A2,해외에서
abruptly,B2,갑자기
absence,B1,결석
absent,B1,결석한
absentee,B2,부재자
absolute,B1,순수한
absolutely,B1,전적으로
absorb,B1,흡수하다
abstract,B1,추상적인
absurd,B2,터무니없는
abundance,B1,풍부
abundant,B1,풍족한
abuse,B2,남용
academic,B1,학생
academy,B1,학원
accent,B1,악센트
accept,A2,수용하다
acceptable,A2,받아들일 수 있는
acceptance,B1,수락
access,B1,입장
access,B2,입장
accessibility,B2,접근성
accessible,B1,얻기 쉬운
accessory,B1,종범
accident,A2,사고
accidental,B1,우연한
accidentally,B1,우연히
accommodation,B2,숙소
accompany,B1,따르게 하다
accomplish,B1,성취하다
according to,B1,~에 따르면
accordingly,B2,따라서
account,A2,계정
account,B1,계정
accountant,B1,회계사
accumulate,B2,모으다
accuracy,B1,정확성
accurate,B1,정확한
accurately,B1,정확히
accusation,B2,고발
accuse,B1,고발하다
accustom,B1,익숙해지다
ache,B1,아픔
ache,B2,아픔
achievable,B2,달성 가능한
achieve,A2,성취하다
achievement,B1,성취
acid,B2,산
acknowledge,B1,인정하다
acknowledgment/acknowledgement,B1,승인/인정
acquaintance,B1,아는 사람
acquire,B1,습득하다
acquisition,B2,인수
across,A2,가로질러
across,A2,가로질러
act,A2,행동
act,B1,행동
action,A1,행동
active,B1,활동적인
actively,B2,적극적으로
activity,A1,활동
actor,A1,배우
actress,B1,여배우
actual,B2,실제
actually,A2,실제로
acute,B2,심각한
ad,B1,광고
adapt,B1,적응하다
adaptable,B2,적응할 수 있는
add,A1,추가하다
addict,B2,중독자
addicted,B2,중독된
addiction,B2,탐닉
addition,A2,덧셈
additional,A2,추가의
additionally,B2,추가적으로
address,A1,주소
address,B1,주소
addressee,B1,수신인
adequate,B2,적절한
adequately,B2,적절하게
adjective,A2,형용사
adjust,A2,조정하다
adjustment,B2,조정
administration,B1,관리
administrative,B2,행정
admirable,B2,훌륭한
admiration,B1,감탄
admire,A2,존경하다
admiringly,B2,감탄스럽게
admission,B1,가입
admit,A2,인정하다
admittedly,B2,틀림없이
adopt,B1,입양하다
adopted,B2,채택됨
adoption,B2,양자
adorable,B1,사랑스러운
adore,B2,좋아하다
adorn,B2,꾸미다
adult,A2,성인
adult,A2,성인
advance,B2,전진
advance,B1,전진
advanced,A2,고급의
advancement,B2,진보
advantage,A2,이점
advent,B2,출현
adventure,A2,모험
adventurous,B2,모험심이 강한
adverb,B1,부사
adverbial,B1,부사
adverse,B2,불리한
adversely,B2,불리하게
adversity,B2,역경
advert,B1,광고하다
advertise,B1,공시 하다
advertisement,A2,광고
advertising,A2,광고
advice,A2,조언
advise,A2,권하다
adviser/advisor,B1,고문/고문
aerobics,B1,에어로빅
affair,A2,일
affect,B1,영향을 미치다
affection,B1,애정
affectionate,B2,다정한
affectionately,B2,다정하게
afford,B1,여유가 되다
affordable,B2,입수 가능한
afraid,A1,두려워하는
after,A2,~ 후에
after,B1,~ 후에
after,A1,~ 후에
afternoon,A1,오후
afterward,B1,기후
afterwards,B1,나중에
again,A1,다시
against,A2,~에 맞서
age,A1,나이
aged,A2,늙은
ageless,B2,영원한
agency,A2,대행사
agenda,B1,의제
agent,A2,대리인
aggressive,B1,공격적인
aggressively,B2,공격적으로
ago,A1,~ 전에
agonize/agonise,B2,고민하다/고뇌하다
agony,B2,고뇌
agree,A1,동의하다
agreement,B1,합의
agricultural,B1,농업
agriculture,B1,농업
ahead,A2,앞으로
aid,B1,지원
aid,B1,지원
aim,B1,목표
aim,B2,목표
air,A2,공기
air conditioning,B1,공기 조절
air force,B1,공군
aircraft,B2,항공기
aircrew,B2,승무원
airline,B1,공기 호스
airplane/aeroplane,A1,비행기/비행기
airport,A1,공항
aisle,A2,통로
alarm,A2,경보
alarm,B1,경보
alarm clock,A2,자명종
album,A1,앨범
alcohol,B1,술
alcoholic,B1,알코올 중독자
alcoholic,B2,알코올 중독자
alcoholism,B2,대주
alert,B2,알리다
alike,B1,서로 같은
alike,B1,서로 같은
alive,A2,살아 있는
all,A2,모두
all,A1,모두
all,A1,모두
